id,dt,wind,cloud,t,tmin,tmax,pcp,s,hum
1185,2001/03/30,1.375,0,2.0500000566244125,-4.699999809265137,9.199999809265137,,,66
1186,2001/03/31,1,0,3.3624999579042196,-4.400000095367432,10.699999809265137,,,72
1187,2001/04/01,1.625,0,3.6499999314546585,-3,10,,,73
1188,2001/04/02,0.625,9,4.874999940395355,-4.199999809265137,14.699999809265137,,,72
1189,2001/04/03,1.125,0,9.1749999076128,1.899999976158142,17.100000381469727,,,74
1190,2001/04/04,1.875,0,11.350000232458115,2.299999952316284,19.299999237060547,,,66
1191,2001/04/05,1.875,5,11.24999988079071,4.699999809265137,18.299999237060547,,,57
1192,2001/04/06,1.75,5,10.849999904632568,4,17,,,65
1193,2001/04/07,2.25,9,8.537499904632568,5.300000190734863,12.100000381469727,,,86
1194,2001/04/08,1.125,5,10.412499874830246,3.5,16.899999618530273,,,69
1195,2001/04/09,1.375,5,12.200000047683716,4.800000190734863,19.299999237060547,,,66
1196,2001/04/10,1.375,5,13.324999928474426,6.699999809265137,19.5,,,61
1197,2001/04/11,1.625,5,13.425000011920929,5,20.100000381469727,,,61
1198,2001/04/12,1.625,5,12.050000071525574,6.099999904632568,17.899999618530273,,,71
1199,2001/04/13,1.5,9,7.25,4.5,10.899999618530273,1.9,,87
1200,2001/04/14,2.625,9,5.199999958276749,3.0999999046325684,8.5,12.4,,84
1201,2001/04/15,2.375,5,4.700000032782555,1.2000000476837158,9.899999618530273,,,68
1202,2001/04/16,1.25,5,6.787500128149986,0,11.699999809265137,,,63
1203,2001/04/17,0.875,5,9.787500143051147,6.300000190734863,13.899999618530273,,,61
1204,2001/04/18,2,5,9.699999988079071,3.5999999046325684,15.699999809265137,,,64
1205,2001/04/19,2,5,11.324999988079071,7.599999904632568,15.899999618530273,,,69
1206,2001/04/20,1.5,5,12.937499761581421,8.100000381469727,18.899999618530273,,,70
1207,2001/04/21,2.25,9,11.862500071525574,8.300000190734863,16.600000381469727,1.9,,70
1208,2001/04/22,4.125,9,13.037500023841858,9.600000381469727,17.200000762939453,2.7,,78
1209,2001/04/23,5.25,5,15.0625,12.399999618530273,20.5,1.3,,79
1210,2001/04/24,3.25,5,13.637500047683716,11.800000190734863,18.100000381469727,3,,76
1211,2001/04/25,2,5,13.337499856948853,10,17.799999237060547,,,75
1212,2001/04/26,1.875,5,11.274999976158142,6.800000190734863,15.300000190734863,2.1,,89
1213,2001/04/27,1.5,9,12.337500214576721,10.399999618530273,13.100000381469727,17.7,,94
1214,2001/04/28,3,9,9.037500023841858,8.100000381469727,10.899999618530273,12,,87
1215,2001/04/29,1.125,5,11.687500059604645,6.099999904632568,17.700000762939453,,,76
1216,2001/04/30,0.375,0,14.25,6,21.299999237060547,,,75
1217,2001/05/01,1.125,0,15.637500166893005,6.699999809265137,22.399999618530273,,,71
1218,2001/05/02,2.875,5,17.46250021457672,9.300000190734863,25.100000381469727,,,64
1219,2001/05/03,2.875,5,13.800000071525574,9.600000381469727,17.399999618530273,0.4,,69
1220,2001/05/04,1.5,0,13.675000131130219,7.400000095367432,19.899999618530273,,,63
1221,2001/05/05,1.75,5,16.862499952316284,11.300000190734863,23.5,,,65
1222,2001/05/06,1.625,5,18.262500166893005,12.399999618530273,23.799999237060547,,,62
1223,2001/05/07,2,5,18.12499988079071,10.600000381469727,24.5,,,65
1224,2001/05/08,5.25,5,14.800000071525574,12.800000190734863,19.899999618530273,,,53
1225,2001/05/09,3,5,10.750000059604645,5.400000095367432,15.100000381469727,,,53
1226,2001/05/10,1.125,5,12.225000262260437,8.199999809265137,17.399999618530273,,,65
1227,2001/05/11,2.25,5,11.450000166893005,5.5,18.299999237060547,17.5,,78
1228,2001/05/12,3.75,9,9.037500023841858,8.300000190734863,10.300000190734863,12.6,,83
1229,2001/05/13,3.75,5,8.024999916553497,5.199999809265137,10.5,,,63
1230,2001/05/14,1.375,0,9.050000160932541,1.7000000476837158,16.700000762939453,,,62
1231,2001/05/15,2.125,5,15.462499856948853,9.100000381469727,21.899999618530273,,,53
1232,2001/05/16,2.125,0,16.387499928474426,8.100000381469727,22.799999237060547,,,56
1233,2001/05/17,1.625,5,18.475000023841858,13.100000381469727,23.5,,,67
1234,2001/05/18,2.5,5,20.03749966621399,13.100000381469727,27.200000762939453,,,68
1235,2001/05/19,2.75,9,15.149999976158142,12,22,8.2,,74
1236,2001/05/20,2.25,5,12.549999952316284,9.600000381469727,15.300000190734863,3.1,,70
1237,2001/05/21,3.25,9,13.56249988079071,7.699999809265137,17.799999237060547,0.7,,62
1238,2001/05/22,3.25,5,10.150000035762787,7.400000095367432,12.899999618530273,,,61
1239,2001/05/23,2.625,5,9.700000047683716,5,14.600000381469727,,,65
1240,2001/05/24,2.375,5,12.487500220537186,2.200000047683716,21.200000762939453,,,60
1241,2001/05/25,2.125,5,15.299999713897705,8.899999618530273,23,2.9,,66
1242,2001/05/26,2.25,5,10.6875,7.699999809265137,14.199999809265137,,,57
1243,2001/05/27,1.5,5,10.987499982118607,2,17.700000762939453,,,57
1244,2001/05/28,2.25,9,15.287499785423279,11.800000190734863,21.799999237060547,1.5,,64
1245,2001/05/29,3.375,9,13.224999904632568,11.800000190734863,16.200000762939453,5.8,,81
1246,2001/05/30,4.625,5,10.962499916553497,7.099999904632568,14.5,2.2,,63
